
============================================================
TESTING: Balanced School Medium
============================================================
Sections: 47, Classrooms: 20, Teachers: 17, Periods: 5
✅ Phase 2: Sections sorted by difficulty (most constrained first).
[search] nodes=10,000 section_index=18 elapsed=0.6s
[search] nodes=20,000 section_index=18 elapsed=1.2s
[search] nodes=30,000 section_index=18 elapsed=1.8s
[search] nodes=40,000 section_index=18 elapsed=2.4s
[search] nodes=50,000 section_index=18 elapsed=3.0s
[search] nodes=60,000 section_index=18 elapsed=3.6s
[search] nodes=70,000 section_index=18 elapsed=4.2s
[search] nodes=80,000 section_index=18 elapsed=4.8s
[search] nodes=90,000 section_index=18 elapsed=5.5s
[search] nodes=100,000 section_index=18 elapsed=6.1s
[search] nodes=110,000 section_index=18 elapsed=6.7s
[search] nodes=120,000 section_index=18 elapsed=7.3s
[search] nodes=130,000 section_index=18 elapsed=7.9s
[search] nodes=140,000 section_index=18 elapsed=8.5s
[search] nodes=150,000 section_index=18 elapsed=9.2s
[search] nodes=160,000 section_index=18 elapsed=9.8s
[search] nodes=170,000 section_index=18 elapsed=10.4s
[search] nodes=180,000 section_index=18 elapsed=11.0s
[search] nodes=190,000 section_index=18 elapsed=11.6s
[search] nodes=200,000 section_index=18 elapsed=12.2s
[search] nodes=210,000 section_index=18 elapsed=12.8s
[search] nodes=220,000 section_index=18 elapsed=13.4s
[search] nodes=230,000 section_index=18 elapsed=14.0s
[search] nodes=240,000 section_index=18 elapsed=14.6s
[search] nodes=250,000 section_index=18 elapsed=15.2s
[search] nodes=260,000 section_index=18 elapsed=15.9s
[search] nodes=270,000 section_index=17 elapsed=16.5s
[search] nodes=280,000 section_index=18 elapsed=17.1s
[search] nodes=290,000 section_index=18 elapsed=17.7s
[search] nodes=300,000 section_index=18 elapsed=18.3s
[search] nodes=310,000 section_index=18 elapsed=19.0s
[search] nodes=320,000 section_index=18 elapsed=19.6s
[search] nodes=330,000 section_index=18 elapsed=20.2s
[search] nodes=340,000 section_index=18 elapsed=20.8s
[search] nodes=350,000 section_index=18 elapsed=21.4s
[search] nodes=360,000 section_index=18 elapsed=22.0s
[search] nodes=370,000 section_index=18 elapsed=22.6s
[search] nodes=380,000 section_index=18 elapsed=23.2s
[search] nodes=390,000 section_index=18 elapsed=23.8s
[search] nodes=400,000 section_index=18 elapsed=24.4s
[search] nodes=410,000 section_index=18 elapsed=25.0s
[search] nodes=420,000 section_index=18 elapsed=25.6s
[search] nodes=430,000 section_index=18 elapsed=26.2s
[search] nodes=440,000 section_index=18 elapsed=26.9s
[search] nodes=450,000 section_index=18 elapsed=27.5s
[search] nodes=460,000 section_index=18 elapsed=28.1s
[search] nodes=470,000 section_index=18 elapsed=28.7s
[search] nodes=480,000 section_index=18 elapsed=29.3s
[search] nodes=490,000 section_index=18 elapsed=29.9s
[search] nodes=500,000 section_index=18 elapsed=30.5s
[search] nodes=510,000 section_index=18 elapsed=31.1s
[search] nodes=520,000 section_index=18 elapsed=31.7s
[search] nodes=530,000 section_index=18 elapsed=32.3s
[search] nodes=540,000 section_index=18 elapsed=32.9s
[search] nodes=550,000 section_index=18 elapsed=33.5s
[search] nodes=560,000 section_index=18 elapsed=34.1s
[search] nodes=570,000 section_index=18 elapsed=34.7s
[search] nodes=580,000 section_index=18 elapsed=35.4s
[search] nodes=590,000 section_index=18 elapsed=36.0s
[search] nodes=600,000 section_index=18 elapsed=36.6s
[search] nodes=610,000 section_index=18 elapsed=37.2s
[search] nodes=620,000 section_index=18 elapsed=37.8s
[search] nodes=630,000 section_index=18 elapsed=38.4s
[search] nodes=640,000 section_index=18 elapsed=39.0s
[search] nodes=650,000 section_index=18 elapsed=39.6s
[search] nodes=660,000 section_index=18 elapsed=40.2s
[search] nodes=670,000 section_index=18 elapsed=40.8s
[search] nodes=680,000 section_index=18 elapsed=41.4s
[search] nodes=690,000 section_index=18 elapsed=42.0s
[search] nodes=700,000 section_index=18 elapsed=42.6s
[search] nodes=710,000 section_index=18 elapsed=43.2s
[search] nodes=720,000 section_index=18 elapsed=43.9s
[search] nodes=730,000 section_index=18 elapsed=44.5s
[search] nodes=740,000 section_index=18 elapsed=45.1s
[search] nodes=750,000 section_index=18 elapsed=45.7s
[search] nodes=760,000 section_index=18 elapsed=46.3s
[search] nodes=770,000 section_index=18 elapsed=46.9s
[search] nodes=780,000 section_index=18 elapsed=47.5s
[search] nodes=790,000 section_index=18 elapsed=48.2s
[search] nodes=800,000 section_index=18 elapsed=48.8s
[search] nodes=810,000 section_index=18 elapsed=49.4s
[search] nodes=820,000 section_index=18 elapsed=50.0s
[search] nodes=830,000 section_index=18 elapsed=50.6s
[search] nodes=840,000 section_index=18 elapsed=51.2s
[search] nodes=850,000 section_index=18 elapsed=51.8s
[search] nodes=860,000 section_index=18 elapsed=52.4s
[search] nodes=870,000 section_index=18 elapsed=53.0s
[search] nodes=880,000 section_index=18 elapsed=53.6s
[search] nodes=890,000 section_index=18 elapsed=54.2s
[search] nodes=900,000 section_index=18 elapsed=54.8s
[search] nodes=910,000 section_index=18 elapsed=55.4s
[search] nodes=920,000 section_index=18 elapsed=56.0s
[search] nodes=930,000 section_index=18 elapsed=56.6s
